class,type,precision,recall,f1,mAP@0.5,mAP@0.5:0.95
helmet_on,Safe/Neutral,0.9484708835847662,0.9018779779141661,0.9245878119490875,0.9556825584899757,0.6910987447630208
no_helmet,⚠ Violation,0.6931527301683886,0.7004048582995951,0.6967599240549385,0.7791787336306558,0.5202347513385815
vest_on,Safe/Neutral,0.878105128546817,0.9414784394250514,0.9086881862720502,0.9646358508274531,0.7742909607748146
no_vest,⚠ Violation,0.84003783615801,0.8809523809523809,0.8600087606494702,0.9331375748530799,0.672635886062112
person,Safe/Neutral,0.707013457905127,0.8358862144420132,0.766067701587933,0.7956981513923767,0.5732831240232478
mask_on,Safe/Neutral,0.7503082146426469,0.5849056603773585,0.6573621349846126,0.7185556212620644,0.3765132652881976
