epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,15244.1,1.01515,2.09587,1.25766,0.72148,0.77461,0.7887,0.51599,1.15083,2.23132,1.37034,0.0005446,0.0005446,0.0005446
25,15872.7,1.01623,2.09441,1.25896,0.72717,0.77181,0.78251,0.51295,1.14828,2.21552,1.36622,0.0005248,0.0005248,0.0005248
26,16499.9,1.00819,2.05191,1.2471,0.7144,0.78017,0.78791,0.51446,1.15545,2.2247,1.36795,0.000505,0.000505,0.000505
27,17126.5,0.99326,2.01026,1.24323,0.70672,0.77661,0.78448,0.51555,1.15046,2.19651,1.36212,0.0004852,0.0004852,0.0004852
28,17753.5,0.97631,1.96355,1.23387,0.71239,0.77991,0.78333,0.51081,1.15708,2.23782,1.37458,0.0004654,0.0004654,0.0004654
29,18381.5,0.97535,1.94658,1.23085,0.7227,0.78435,0.7886,0.51892,1.15486,2.22075,1.36922,0.0004456,0.0004456,0.0004456
30,19008.6,0.96751,1.91725,1.22372,0.71701,0.78837,0.78585,0.51547,1.15356,2.19831,1.36993,0.0004258,0.0004258,0.0004258
31,19635.8,0.95902,1.89252,1.21779,0.71256,0.78788,0.79077,0.5171,1.15488,2.22325,1.36957,0.000406,0.000406,0.000406
32,20262.2,0.95238,1.85881,1.21474,0.71944,0.77814,0.79447,0.52074,1.14844,2.1833,1.36563,0.0003862,0.0003862,0.0003862
33,20888.1,0.93999,1.81675,1.20834,0.70609,0.77615,0.79022,0.52014,1.14826,2.22835,1.37329,0.0003664,0.0003664,0.0003664
34,21515.3,0.93537,1.78529,1.20413,0.70487,0.79026,0.78985,0.52189,1.15023,2.23226,1.38,0.0003466,0.0003466,0.0003466
35,22141.4,0.92952,1.76747,1.19996,0.7072,0.80408,0.79495,0.52298,1.1496,2.1826,1.37321,0.0003268,0.0003268,0.0003268
36,22767.8,0.9189,1.74064,1.19062,0.71316,0.78853,0.79043,0.5228,1.14544,2.20307,1.36942,0.000307,0.000307,0.000307
37,23392.7,0.91437,1.72524,1.18945,0.71786,0.78689,0.78795,0.52107,1.14582,2.20391,1.37125,0.0002872,0.0002872,0.0002872
38,24018.1,0.9005,1.68559,1.18126,0.72063,0.77401,0.78852,0.5232,1.14801,2.2263,1.37108,0.0002674,0.0002674,0.0002674
39,24644.2,0.89486,1.67385,1.17538,0.71505,0.78678,0.78431,0.5214,1.14728,2.22849,1.3704,0.0002476,0.0002476,0.0002476
40,25269,0.88238,1.63549,1.16916,0.71592,0.78545,0.7829,0.5205,1.14981,2.23376,1.37481,0.0002278,0.0002278,0.0002278
41,25913.9,0.8623,1.38516,1.17451,0.7119,0.77662,0.77548,0.51863,1.14763,2.24683,1.3761,0.000208,0.000208,0.000208
42,26539.5,0.8463,1.34976,1.16246,0.71362,0.77922,0.77537,0.51848,1.15149,2.26123,1.37998,0.0001882,0.0001882,0.0001882
43,27167.4,0.83304,1.31744,1.1449,0.71506,0.77796,0.77666,0.51952,1.15258,2.277,1.37835,0.0001684,0.0001684,0.0001684
44,27795.3,0.8258,1.29656,1.14252,0.71666,0.76683,0.77603,0.52068,1.14941,2.2734,1.37597,0.0001486,0.0001486,0.0001486
45,28421.9,0.8148,1.27617,1.1425,0.713,0.76868,0.77491,0.51976,1.14781,2.28591,1.37837,0.0001288,0.0001288,0.0001288
46,29051,0.80374,1.24902,1.13153,0.71024,0.77337,0.77584,0.52009,1.14911,2.29187,1.38083,0.000109,0.000109,0.000109
47,29669.1,0.79637,1.23235,1.12684,0.71142,0.77093,0.77177,0.51906,1.14896,2.30615,1.3823,8.92e-05,8.92e-05,8.92e-05
48,30288,0.78641,1.20826,1.12,0.71213,0.76614,0.77167,0.51848,1.14929,2.31497,1.38448,6.94e-05,6.94e-05,6.94e-05
49,31011.6,0.78224,1.19963,1.11515,0.70938,0.76465,0.77279,0.51853,1.14972,2.32599,1.38634,4.96e-05,4.96e-05,4.96e-05
50,33287.6,0.77498,1.18968,1.11211,0.70601,0.76771,0.76968,0.51801,1.15019,2.33181,1.3877,2.98e-05,2.98e-05,2.98e-05
