epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,666.763,1.47205,5.11953,1.60386,0.47805,0.52513,0.49084,0.28395,1.52506,4.64391,1.70712,0.0670147,0.000333184,0.000333184
2,1326.68,1.43527,4.6202,1.57242,0.6126,0.53949,0.56944,0.33332,1.42122,4.10589,1.62211,0.0340015,0.000653321,0.000653321
3,1979.75,1.38214,4.24068,1.5288,0.55345,0.58973,0.59386,0.3497,1.36486,3.65602,1.57102,0.000975145,0.000960257,0.000960257
4,2614.49,1.3289,3.9018,1.48662,0.67574,0.6282,0.67012,0.40722,1.31426,3.20513,1.50725,0.0009406,0.0009406,0.0009406
5,3248.46,1.27661,3.64545,1.45769,0.66288,0.64243,0.67549,0.41338,1.30057,3.07824,1.51402,0.0009208,0.0009208,0.0009208
6,3881.42,1.25229,3.46078,1.43609,0.64999,0.69642,0.70998,0.43263,1.26361,2.87881,1.47336,0.000901,0.000901,0.000901
7,4514.8,1.22481,3.26229,1.4119,0.67726,0.6816,0.71935,0.44658,1.25642,2.81626,1.46834,0.0008812,0.0008812,0.0008812
8,5149.19,1.20022,3.14968,1.3986,0.66101,0.71683,0.72479,0.44769,1.24981,2.75834,1.4705,0.0008614,0.0008614,0.0008614
9,5780.69,1.19111,3.0523,1.3908,0.69157,0.68193,0.72314,0.4528,1.23161,2.71421,1.4396,0.0008416,0.0008416,0.0008416
10,6413.46,1.17447,2.97236,1.38152,0.67439,0.70503,0.73626,0.45996,1.22867,2.65113,1.44814,0.0008218,0.0008218,0.0008218
11,7045.82,1.16273,2.91015,1.36883,0.7046,0.7296,0.75402,0.47527,1.21533,2.54961,1.4156,0.000802,0.000802,0.000802
12,7677.79,1.14138,2.76652,1.35021,0.72669,0.7178,0.75782,0.47484,1.2132,2.50121,1.42665,0.0007822,0.0007822,0.0007822
13,8308.4,1.12952,2.70614,1.34302,0.69982,0.73752,0.76235,0.48377,1.20113,2.46564,1.40812,0.0007624,0.0007624,0.0007624
14,8940.13,1.12542,2.6695,1.33886,0.69813,0.74925,0.76073,0.48355,1.19542,2.42572,1.41073,0.0007426,0.0007426,0.0007426
15,9570.73,1.11319,2.60419,1.33239,0.71888,0.74659,0.77129,0.49579,1.17849,2.38277,1.38133,0.0007228,0.0007228,0.0007228
16,10201.3,1.10746,2.53033,1.32262,0.70702,0.77121,0.77196,0.49574,1.17509,2.34659,1.39706,0.000703,0.000703,0.000703
17,10832.4,1.09141,2.45886,1.31101,0.72155,0.75605,0.77686,0.49622,1.17958,2.35006,1.39081,0.0006832,0.0006832,0.0006832
18,11462.4,1.0779,2.40538,1.30566,0.71279,0.76383,0.78108,0.50119,1.17094,2.29777,1.38905,0.0006634,0.0006634,0.0006634
19,12092.9,1.07271,2.35232,1.29797,0.71305,0.7668,0.77643,0.49978,1.17917,2.29724,1.38835,0.0006436,0.0006436,0.0006436
20,12722.2,1.0548,2.30692,1.28122,0.72017,0.75983,0.77621,0.50263,1.16056,2.29728,1.36878,0.0006238,0.0006238,0.0006238
21,13354.5,1.05349,2.28149,1.28116,0.72734,0.76959,0.78557,0.50663,1.16529,2.24698,1.37018,0.000604,0.000604,0.000604
22,13984.1,1.03857,2.20747,1.2734,0.73063,0.76371,0.77913,0.50814,1.16233,2.24779,1.37933,0.0005842,0.0005842,0.0005842
23,14614,1.03038,2.16855,1.26822,0.71135,0.77235,0.78487,0.51405,1.1539,2.2163,1.36797,0.0005644,0.0005644,0.0005644
